cvss_score,epss_score,kev_status,internet_exposed,patch_available,asset_criticality,control_effectiveness,open_vulnerability_count,high_vulnerability_count,business_criticality,exploited
6.01,0.2205,0,0,1,0,0.7943,1,2,1,0
7.85,0.0291,0,0,1,0,0.3465,1,1,1,0
8.17,0.0911,0,0,1,2,0.7047,3,2,1,0
5.33,0.0402,0,0,1,2,0.6196,1,2,0,1
5.23,0.0261,0,1,0,0,0.3785,2,0,1,0
5.89,0.2223,0,0,1,2,0.5811,1,1,3,0
1.44,0.0086,0,0,1,2,0.7646,1,0,2,0
3.17,0.0146,1,0,1,1,0.785,3,0,1,0
9.51,0.4397,1,0,0,1,1.0,5,0,1,1
10.0,0.2085,0,0,1,1,0.5736,2,0,2,0
5.95,0.0453,0,0,1,0,0.4906,2,2,2,0
7.77,0.0001,0,1,1,1,0.6905,6,4,1,0
7.18,0.067,0,0,1,2,0.5043,3,0,2,0
10.0,0.1993,1,0,1,1,0.4038,2,4,1,0
8.96,0.0949,0,1,1,1,0.3186,5,0,1,1
6.22,0.0021,1,0,1,1,0.0,2,0,2,1
4.4,0.0741,0,1,1,1,0.7337,1,0,1,0
2.97,0.2474,0,0,0,1,0.1405,3,2,3,1
6.95,0.008,0,1,0,2,0.33,4,0,1,1
4.84,0.099,1,1,1,0,0.6231,1,3,0,1
3.37,0.2568,0,1,1,2,0.4696,1,0,0,1
5.08,0.1029,0,0,1,0,1.0,4,0,1,0
4.12,0.2561,0,1,0,2,0.1727,1,2,1,1
10.0,0.2904,1,0,0,1,1.0,3,0,1,1
8.44,0.0733,0,1,1,2,0.8951,2,0,1,1
6.48,0.1445,0,0,0,2,0.7773,3,1,1,1
9.76,0.058,0,0,1,1,0.9098,1,2,1,0
6.67,0.0209,1,0,1,2,0.6512,5,0,2,1
4.61,0.0763,0,0,0,0,0.1242,3,0,3,0
9.85,0.0699,0,0,1,0,0.6787,4,0,1,0
7.69,0.1087,0,1,1,3,0.1798,2,0,1,1
4.22,0.0058,0,0,0,0,0.4179,6,0,1,1
6.08,0.0001,0,1,1,1,0.5305,3,1,0,0
4.57,0.1488,0,0,0,0,0.3222,2,0,1,0
3.46,0.0805,0,0,1,1,0.7865,3,3,3,0
8.54,0.0477,0,0,0,3,0.4966,3,0,2,1
10.0,0.1476,0,0,1,1,0.6523,0,1,2,0
3.42,0.0323,0,0,1,1,0.5476,2,2,0,0
7.74,0.204,1,1,0,1,0.5815,1,2,1,1
5.07,0.0225,0,0,0,1,0.3283,0,0,1,0
5.43,0.0431,0,1,1,1,0.2565,0,3,2,1
5.2,0.1005,0,0,1,1,0.5116,2,0,2,0
4.6,0.2805,0,1,1,1,0.3085,6,2,1,1
6.61,0.1451,0,0,0,2,0.8984,2,1,1,1
4.67,0.013,1,1,1,0,0.2059,2,1,1,1
7.1,0.0012,0,0,1,0,1.0,0,0,3,0
6.39,0.4362,0,0,0,3,0.6255,6,1,1,1
5.97,0.0739,0,0,1,2,0.5673,4,1,1,1
4.5,0.0192,0,0,0,2,0.4149,3,1,3,1
5.23,0.1047,0,0,1,2,0.7142,4,2,3,1
8.16,0.1023,0,0,1,1,0.4989,2,1,1,0
7.6,0.045,0,1,0,2,0.6251,2,1,2,1
4.35,0.5642,0,0,1,0,0.7605,4,0,1,0
6.72,0.0705,1,0,1,2,0.7173,2,1,1,1
8.15,0.0874,0,0,1,1,0.86,2,0,1,0
2.83,0.0168,0,1,0,3,0.6845,6,1,2,1
7.7,0.0138,0,0,0,2,0.3122,0,2,1,0
5.04,0.0174,1,0,1,0,0.0301,1,1,1,0
7.76,0.0116,0,0,0,1,0.6028,3,2,2,0
4.82,0.215,1,0,1,0,0.6064,5,0,2,0
2.53,0.0053,0,0,1,2,1.0,3,0,2,0
2.92,0.2327,0,1,1,1,0.521,1,0,1,1
6.61,0.46,0,0,1,1,0.6436,4,1,3,0
7.07,0.0112,0,0,1,3,0.7443,4,0,0,0
4.51,0.2944,0,1,1,3,0.6784,5,0,1,1
7.9,0.1231,0,0,1,3,0.761,6,1,3,1
2.84,0.1331,0,1,0,1,0.3454,0,1,2,1
6.35,0.1616,0,1,0,2,0.3059,1,3,2,1
3.84,0.2239,1,1,0,3,0.4799,4,0,1,1
5.07,0.0027,0,0,1,1,0.0065,4,0,1,0
6.6,0.1514,0,0,0,1,0.5401,1,1,3,0
4.61,0.0583,1,1,0,2,0.3851,3,0,1,1
5.65,0.2091,0,0,1,2,0.6306,2,0,1,0
8.71,0.0252,0,0,1,2,0.4837,2,0,1,0
5.23,0.1317,0,0,1,1,0.2961,1,0,1,0
8.34,0.1695,1,0,1,0,0.8777,3,0,2,0
4.01,0.0311,0,1,1,2,0.5706,3,0,1,0
7.67,0.0485,0,1,1,1,0.7657,2,1,1,0
9.67,0.0003,0,0,1,2,0.5959,4,2,1,1
1.06,0.1011,0,1,1,0,0.666,2,2,2,0
4.75,0.2797,0,0,1,0,0.2098,3,1,1,1
7.77,0.6798,0,1,0,1,0.8695,1,1,1,1
6.05,0.002,0,0,0,1,0.7697,4,1,2,0
7.32,0.0873,1,0,1,2,0.5453,2,1,2,0
5.17,0.1225,0,0,0,1,0.622,4,2,2,1
6.69,0.2044,0,0,0,2,0.8007,4,0,3,0
6.16,0.0336,0,0,1,2,0.457,1,1,2,0
9.07,0.0004,0,0,0,0,0.1542,1,2,3,1
7.06,0.1263,0,1,1,3,0.4617,2,0,0,0
7.24,0.0332,0,1,0,2,0.5881,3,2,2,0
5.59,0.0069,0,1,0,2,0.5419,6,0,1,0
5.43,0.0017,0,1,1,3,0.8794,3,2,2,1
5.55,0.2855,0,1,1,1,0.31,2,2,2,1
7.37,0.1429,0,1,1,1,0.3417,3,1,0,1
5.57,0.2694,1,0,1,0,0.2855,3,1,1,0
7.14,0.0015,0,1,1,1,0.6572,1,1,2,0
10.0,0.1287,0,0,0,1,0.1685,2,1,1,1
8.42,0.1303,0,0,1,2,0.7359,3,2,1,0
5.78,0.0292,0,0,0,0,0.3168,0,0,0,0
9.14,0.0493,0,0,1,0,0.3567,1,0,2,0
5.6,0.6142,0,1,0,1,0.9926,2,0,0,1
2.02,0.0575,1,1,0,0,0.8581,1,3,1,1
4.28,0.5789,0,1,1,2,0.5798,2,1,3,1
2.38,0.0334,0,1,1,2,0.2222,2,0,1,0
5.73,0.0487,0,0,1,1,1.0,4,0,2,0
6.54,0.1401,0,1,1,0,0.5009,3,1,2,0
10.0,0.0003,0,0,0,0,0.6119,5,1,0,0
7.22,0.2205,0,0,0,2,0.778,3,1,3,1
6.02,0.1359,0,1,1,3,0.0593,3,1,1,1
8.32,0.0396,0,1,0,1,0.39,4,1,1,1
1.64,0.0946,0,1,1,2,0.533,4,1,2,0
7.02,0.1235,0,0,1,2,0.5827,0,1,2,0
8.2,0.1547,0,1,0,0,0.2241,1,2,1,1
3.25,0.0465,0,0,1,3,0.6316,2,2,0,0
9.02,0.8462,0,0,1,1,0.5584,3,3,1,1
7.24,0.4955,0,0,1,3,0.9668,2,2,3,0
5.59,0.0716,0,0,0,1,0.8001,6,1,0,1
7.89,0.0423,0,0,0,1,0.4827,2,0,2,1
10.0,0.3313,0,0,1,3,0.501,1,2,1,1
6.9,0.162,0,1,1,1,0.8036,0,2,2,0
7.05,0.0695,0,0,1,2,0.6209,3,2,2,1
5.49,0.0285,0,0,1,0,0.2072,6,0,1,0
4.63,0.2815,0,0,1,2,1.0,6,1,0,0
8.33,0.2971,0,1,1,1,0.3025,3,0,0,0
4.62,0.0543,0,1,0,3,1.0,3,0,1,1
6.66,0.0669,0,0,1,0,0.657,3,2,3,0
5.45,0.0299,0,0,0,1,0.3911,3,0,3,1
7.55,0.4892,1,0,1,2,0.0,0,0,0,1
7.23,0.4711,0,0,0,3,0.7442,1,0,2,1
8.78,0.1029,0,0,1,1,0.1624,3,0,1,0
5.38,0.0326,0,0,1,1,0.6393,1,0,3,0
5.91,0.0355,0,0,0,1,1.0,0,3,2,0
4.35,0.3789,0,1,1,1,0.2656,2,1,3,1
5.52,0.0254,0,0,0,2,0.7345,3,1,1,1
7.33,0.0155,0,0,0,0,0.3471,2,1,2,0
8.17,0.0393,0,1,0,2,0.8333,2,3,2,1
4.47,0.2236,0,1,1,1,0.5665,0,3,1,0
8.41,0.0415,0,1,0,1,0.5452,4,2,3,1
9.48,0.2168,1,0,1,1,0.8518,1,1,1,1
7.41,0.0068,0,0,0,2,0.7063,3,1,3,1
10.0,0.2685,0,0,1,1,0.3488,1,1,2,0
4.8,0.1418,0,0,1,0,0.9968,1,0,2,0
3.76,0.9383,0,0,1,0,0.166,1,0,0,0
2.59,0.3119,0,1,0,2,0.6189,3,1,1,1
9.79,0.1248,1,1,1,1,0.3443,2,2,2,1
7.94,0.1108,0,1,0,3,0.1782,2,0,2,1
6.38,0.1136,1,1,1,2,0.2665,4,0,3,1
7.12,0.2318,0,0,1,1,0.5377,3,1,1,0
4.02,0.139,0,1,1,1,0.6374,2,2,2,1
10.0,0.0289,0,1,1,1,0.8147,3,2,2,0
6.78,0.0605,0,1,0,3,0.919,1,1,3,1
6.74,0.1582,0,0,0,1,0.6194,2,1,1,0
8.1,0.0382,0,0,0,0,0.4392,4,0,1,1
7.56,0.5392,1,0,1,1,0.8098,2,1,0,1
6.99,0.5552,0,0,0,2,0.3963,7,1,1,1
4.76,0.0218,0,1,1,2,0.1511,3,1,2,1
7.54,0.0,0,1,1,3,0.7848,0,1,1,1
10.0,0.0031,0,1,1,1,0.881,1,1,1,0
9.46,0.0,0,0,1,1,0.3445,4,0,2,0
10.0,0.4014,0,0,1,1,1.0,1,1,1,0
5.38,0.0312,0,0,1,3,0.6958,4,0,1,0
4.32,0.0827,0,1,1,3,0.6585,3,0,1,1
6.22,0.0219,1,0,1,3,0.4208,3,0,1,1
6.62,0.3271,0,1,1,1,0.8043,5,2,1,1
8.91,0.0578,0,1,1,1,0.1689,4,0,1,1
2.78,0.0311,0,1,0,1,0.4651,2,0,0,0
9.87,0.0115,0,1,1,1,0.3667,4,2,0,1
6.15,0.0925,0,1,1,0,0.2228,3,3,2,1
5.56,0.2096,0,0,1,0,0.7657,4,2,2,0
4.27,0.7553,0,1,1,1,0.6353,1,2,1,0
2.86,0.241,0,0,1,1,0.7512,4,3,1,0
8.31,0.3729,0,0,1,1,0.4804,5,1,0,1
6.66,0.0111,0,0,0,1,0.7963,0,0,1,0
3.66,0.3601,0,1,1,2,0.5693,4,3,1,0
3.65,0.0753,0,0,0,1,0.432,3,1,2,0
5.76,0.3136,0,1,1,2,0.3903,0,1,0,0
10.0,0.0014,0,1,0,1,0.0543,2,1,1,1
5.93,0.1759,0,1,0,2,0.8411,2,0,1,1
3.19,0.2322,0,0,0,0,0.8127,1,3,2,1
5.96,0.0504,0,1,1,0,1.0,2,1,1,0
5.9,0.4037,0,0,1,2,0.4663,1,1,0,0
0.57,0.3456,0,0,1,3,0.3833,2,0,1,1
6.38,0.039,0,1,1,0,0.1246,2,1,2,1
5.99,0.1103,0,0,1,0,0.79,2,1,2,0
8.03,0.1663,0,0,1,3,0.7325,0,1,1,0
10.0,0.2912,0,1,1,0,0.9379,5,1,1,1
8.98,0.0263,1,0,0,1,0.3208,3,0,1,1
5.91,0.2266,0,0,0,3,0.7291,3,0,0,1
4.07,0.2015,0,1,0,2,0.4195,3,1,3,1
10.0,0.1238,0,0,1,1,0.8859,2,1,1,0
6.63,0.2721,1,0,0,3,0.6841,4,0,1,0
6.53,0.3103,0,1,1,1,0.1611,0,1,1,0
6.45,0.4532,1,1,1,0,0.5172,4,0,2,1
6.94,0.1682,0,1,0,2,0.063,4,1,2,1
6.18,0.073,1,1,1,1,0.2592,1,0,1,1
5.24,0.6863,1,0,1,1,0.2743,2,2,2,1
5.3,0.2929,0,1,0,3,0.3898,1,1,2,0
6.43,0.0808,0,1,1,0,0.4843,2,1,1,0
5.3,0.0003,0,0,1,2,0.5911,1,2,1,0
4.93,0.2461,1,1,1,1,0.5786,3,0,3,0
6.73,0.057,1,1,0,1,0.544,3,1,1,1
5.94,0.0001,0,0,0,2,0.6331,0,0,1,0
9.81,0.5431,0,1,1,2,0.2376,4,0,3,1
0.67,0.0514,0,1,1,2,0.5683,2,1,1,0
8.9,0.0134,0,0,1,2,0.9086,2,2,1,0
9.24,0.0113,0,1,1,1,0.5085,2,0,2,0
1.94,0.0588,0,1,1,1,0.6737,3,2,1,0
5.75,0.0313,1,1,0,1,0.6504,6,3,1,1
5.68,0.4337,0,0,1,1,0.7656,3,1,1,0
3.4,0.4121,0,0,0,1,0.6218,2,0,1,1
4.79,0.3754,0,0,1,1,0.7613,4,2,1,0
4.06,0.3889,1,1,1,2,0.6768,3,1,2,1
10.0,0.039,0,1,1,1,0.7143,1,3,2,1
8.56,0.2243,0,0,1,3,0.6605,2,0,1,1
9.3,0.1044,0,0,1,1,0.2983,3,1,1,1
8.09,0.0378,0,0,0,1,0.2573,1,1,3,0
4.02,0.1934,0,1,1,2,0.4617,2,1,1,0
5.35,0.331,0,1,1,2,0.9379,7,1,2,1
7.58,0.0394,0,0,1,0,0.5071,2,2,2,0
3.81,0.0248,0,0,1,1,0.6274,3,0,0,0
8.07,0.7501,1,0,0,1,0.0582,3,0,1,1
5.97,0.0465,0,0,1,2,0.5984,2,3,1,0
5.68,0.4846,0,1,1,2,0.5715,5,1,2,1
8.06,0.0015,0,0,0,1,0.0,0,1,1,0
7.48,0.192,0,0,1,0,0.6227,4,0,2,0
5.71,0.0714,0,1,0,1,0.1373,6,1,2,1
9.05,0.1435,0,1,1,0,0.3687,3,1,1,1
4.12,0.1067,0,1,1,1,0.7986,4,0,1,0
7.86,0.0225,0,1,0,1,0.5894,1,2,0,1
7.8,0.0662,0,1,1,1,0.4379,0,0,3,1
5.82,0.2712,1,1,1,1,0.4165,1,0,2,1
7.22,0.5888,0,1,0,1,0.4455,2,0,1,1
3.75,0.1068,0,1,1,1,0.5902,2,0,1,1
8.53,0.0008,0,1,1,2,0.2498,2,0,0,1
6.09,0.1901,0,0,0,3,0.8311,4,1,1,0
5.35,0.0066,0,0,1,1,0.2631,0,0,1,0
8.81,0.5531,1,0,1,0,0.1182,4,0,2,1
4.95,0.1712,0,1,1,1,0.7978,2,1,1,0
3.4,0.2579,0,1,0,0,0.4408,5,0,2,1
3.08,0.4742,0,1,1,1,0.5676,2,2,0,1
7.83,0.6458,0,0,1,2,0.7137,5,1,2,1
3.68,0.0062,0,0,1,1,0.3701,4,1,2,0
10.0,0.4367,0,1,0,1,0.5843,3,0,1,1
1.92,0.0428,0,0,1,2,0.7121,3,1,1,0
10.0,0.5174,0,0,0,0,0.9608,3,0,1,1
6.96,0.3516,1,1,1,1,0.4222,4,1,2,1
6.29,0.1456,0,0,0,2,0.4343,3,0,3,0
5.3,0.0001,0,0,0,0,0.6908,3,2,0,0
7.38,0.1696,0,0,1,2,0.6021,0,1,1,0
6.42,0.384,0,0,0,3,0.5157,2,2,2,0
8.93,0.0147,0,0,1,2,0.9482,1,0,0,0
6.75,0.208,0,0,1,0,0.1294,0,2,1,0
6.83,0.5934,0,0,1,1,0.1946,0,1,0,0
5.7,0.0094,0,0,0,1,0.1323,3,1,1,0
6.37,0.0305,0,1,1,3,0.8504,3,1,1,0
7.18,0.1652,0,0,1,3,0.6787,2,1,1,1
2.74,0.2357,0,0,1,0,0.2073,3,1,2,0
3.53,0.2321,0,0,1,3,0.5192,2,2,2,0
8.14,0.0325,1,0,1,0,0.5431,2,0,1,1
6.88,0.4433,0,0,1,1,0.0,1,0,0,0
6.1,0.0005,0,0,0,1,0.5971,1,0,0,0
6.54,0.0006,0,1,1,1,0.2556,3,3,2,1
7.26,0.1435,0,1,1,2,0.7267,3,3,2,1
5.31,0.3275,0,1,0,1,0.2633,3,0,0,1
4.79,0.0002,0,0,0,2,0.6048,0,3,0,1
6.93,0.2359,1,1,0,3,0.8736,2,1,2,1
4.35,0.5395,0,0,0,2,0.7936,0,1,2,1
7.4,0.0286,0,1,0,1,0.6768,3,0,1,1
2.75,0.6998,0,0,0,2,0.5297,1,0,1,1
8.76,0.181,0,1,0,1,0.175,1,1,2,1
7.54,0.0588,0,1,1,2,0.4402,2,1,1,1
7.06,0.0298,0,0,1,0,0.4935,1,2,1,0
8.66,0.0559,0,0,1,2,0.4755,0,0,0,1
10.0,0.1653,0,0,1,2,0.1666,2,1,1,0
8.73,0.474,1,0,1,2,0.6586,5,0,3,1
2.45,0.0121,1,1,1,3,0.2548,1,1,1,1
3.68,0.3751,0,0,1,0,0.9365,3,1,3,0
5.13,0.0325,0,0,0,1,0.587,4,0,2,1
6.56,0.1284,0,1,1,1,0.7948,4,0,1,1
7.64,0.0011,0,0,1,1,0.7896,2,1,2,1
4.9,0.3086,0,0,1,1,1.0,2,2,1,0
6.91,0.0214,0,0,0,0,0.5955,1,2,0,1
4.84,0.0284,0,1,1,2,0.4525,3,1,0,0
5.15,0.2445,1,0,0,3,0.4573,0,0,0,1
3.41,0.0098,0,1,1,0,0.924,3,2,2,1
4.47,0.0158,0,0,1,0,0.2199,2,2,2,0
3.53,0.0732,0,0,1,1,0.3305,2,1,1,0
4.35,0.0952,0,0,0,1,0.6092,4,2,1,1
8.82,0.0172,0,1,1,2,0.5118,4,1,2,0
4.41,0.0207,0,0,0,0,0.7919,2,1,2,0
10.0,0.112,0,0,0,2,0.2153,0,2,1,0
7.59,0.1393,0,1,1,0,0.5333,4,1,1,0
6.91,0.2362,0,1,1,3,0.5032,2,0,1,1
4.61,0.2863,0,1,1,2,0.2819,3,0,2,1
8.04,0.7413,0,0,1,3,0.7697,2,1,2,1
5.23,0.016,1,0,0,0,0.5271,3,0,0,0
6.77,0.0921,0,0,1,1,0.5165,6,3,1,0
10.0,0.12,1,1,1,0,0.3438,2,1,0,1
6.29,0.0866,0,0,1,2,0.4575,0,1,2,1
9.03,0.252,1,0,1,1,0.2946,4,2,2,1
4.95,0.0447,0,0,1,2,0.7659,3,2,2,0
6.42,0.1134,0,0,1,2,0.8082,5,1,2,0
10.0,0.1628,0,1,1,1,0.97,2,0,1,0
5.12,0.1902,0,1,1,2,0.6585,3,1,1,0
10.0,0.6226,0,1,1,1,0.4652,4,0,2,1
8.06,0.0173,0,0,1,1,0.4328,3,0,2,0
5.26,0.0549,0,1,0,2,0.6727,0,1,0,0
7.89,0.0533,0,0,0,3,0.6002,2,4,3,1
8.64,0.054,0,0,1,2,0.5064,4,1,1,1
7.87,0.2097,0,0,0,2,0.4845,4,1,1,0
3.05,0.0211,0,0,1,3,0.8428,2,2,1,0
4.9,0.197,0,0,1,1,0.442,1,0,3,1
5.96,0.2289,1,0,1,3,0.8867,3,0,1,1
6.34,0.1454,0,1,1,0,0.5955,3,2,3,1
7.87,0.0086,1,1,0,1,0.458,1,0,2,1
6.89,0.1764,0,0,1,1,0.3537,3,1,1,0
3.56,0.0072,1,0,0,1,0.5114,3,1,1,1
7.34,0.4668,0,0,1,0,0.6758,1,0,2,0
7.84,0.1285,0,0,1,1,0.4557,2,0,1,1
7.73,0.2309,0,0,1,1,0.7626,7,0,0,0
8.88,0.0001,0,0,0,1,0.4433,2,1,1,1
8.33,0.0602,0,1,1,0,0.5188,1,2,1,1
7.51,0.279,0,0,0,2,0.2283,5,1,0,1
6.35,0.0829,0,0,1,1,0.6899,6,2,1,0
2.85,0.0856,0,1,1,1,0.4832,2,1,2,1
7.45,0.0459,0,1,0,0,0.9447,2,1,1,0
6.96,0.3013,0,0,1,0,0.7262,4,0,1,0
7.1,0.5923,0,0,1,2,0.5711,4,1,1,1
3.69,0.0404,0,1,1,2,0.8563,3,0,3,0
4.12,0.1713,0,1,1,2,0.6513,2,1,1,0
8.82,0.0386,0,0,1,1,0.8021,4,1,2,0
6.41,0.1947,0,1,1,0,0.3344,1,1,1,0
8.0,0.2326,1,0,1,0,0.6653,0,1,1,1
6.56,0.0676,0,1,1,2,0.6757,3,0,2,0
6.57,0.0901,0,0,1,2,0.1638,6,1,2,1
8.56,0.2961,0,0,1,3,0.9267,4,1,1,0
5.36,0.558,0,1,1,1,0.2599,3,0,2,0
6.71,0.0259,0,1,1,1,0.2253,1,0,0,0
5.48,0.1244,0,0,1,0,0.0,2,3,0,0
5.54,0.5355,0,0,1,2,0.6685,2,2,2,0
5.82,0.2165,0,0,1,1,0.1392,0,0,3,1
6.99,0.0031,0,0,0,1,0.4208,3,2,1,1
5.45,0.0156,0,0,1,3,0.7595,3,0,1,0
9.26,0.0,0,1,1,2,0.598,2,0,2,1
4.53,0.3375,1,0,1,0,0.3941,3,2,2,0
6.09,0.0584,0,1,1,0,0.1523,2,2,1,1
5.53,0.2964,0,1,1,2,0.5231,3,0,2,0
9.68,0.1393,0,0,1,1,0.7638,1,0,2,0
6.93,0.0604,0,1,1,2,0.7252,2,0,0,0
8.77,0.0084,0,1,1,0,0.9967,2,1,2,0
3.23,0.0535,0,0,0,2,0.3866,1,1,1,1
7.09,0.3395,1,1,1,2,0.2207,0,0,1,1
8.46,0.4337,0,1,1,2,0.6275,1,0,1,0
6.68,0.2109,0,0,1,1,0.6029,0,0,2,0
8.84,0.2115,0,0,1,1,0.5488,1,0,1,1
5.36,0.2013,0,1,0,0,0.3634,2,0,2,1
9.6,0.0537,0,0,1,3,0.0,2,1,1,0
10.0,0.1866,1,1,0,0,0.2983,3,3,2,1
5.7,0.0513,1,1,1,0,0.6893,1,0,2,0
5.52,0.0012,0,0,1,0,0.621,2,3,3,0
9.7,0.1983,0,0,0,2,0.7913,1,0,1,1
9.98,0.1333,1,0,1,2,0.6363,4,3,0,1
5.35,0.1601,0,0,1,2,0.734,1,0,2,0
5.58,0.1516,0,1,1,1,0.7412,0,3,1,0
5.88,0.0286,0,0,1,3,0.5551,0,0,0,1
3.54,0.4165,0,0,1,0,0.5569,2,0,2,0
4.48,0.4692,0,0,1,2,0.0,1,2,0,0
4.29,0.3362,0,1,1,1,0.3859,3,1,1,0
4.81,0.1667,0,0,1,1,0.3966,3,1,2,0
6.42,0.1405,0,1,1,0,0.5228,4,0,1,0
7.02,0.1102,0,1,0,0,0.3174,1,1,2,1
9.91,0.0685,0,1,1,1,0.7844,3,0,1,0
4.3,0.1599,0,0,1,0,0.3296,3,1,1,0
8.67,0.0982,0,0,1,1,0.8256,3,0,0,0
6.03,0.0152,0,0,0,0,0.3097,3,1,2,1
6.39,0.0551,0,0,0,0,0.3991,2,3,1,0
7.98,0.018,0,1,1,2,0.38,1,2,3,1
4.03,0.006,0,0,0,3,0.4259,1,1,2,1
7.34,0.0398,0,0,1,3,0.8447,5,1,2,1
6.87,0.1901,0,1,1,2,0.4682,3,1,1,1
7.58,0.3427,0,0,1,2,0.4746,2,0,2,0
7.14,0.1138,0,0,0,2,0.3646,3,0,1,0
10.0,0.0743,0,0,1,2,0.4851,3,2,1,1
5.1,0.626,0,1,1,1,0.6041,3,4,2,1
5.33,0.0385,0,0,0,0,0.4962,2,1,3,0
5.13,0.026,0,1,1,1,0.5124,3,1,0,0
5.28,0.0424,0,0,1,2,0.804,3,1,2,1
5.1,0.0757,1,0,1,2,0.6184,4,2,3,1
9.12,0.3637,0,1,0,1,0.2623,3,4,1,1
9.63,0.1264,0,1,0,0,0.5287,4,0,1,1
5.24,0.3117,0,0,1,1,0.4154,3,0,2,0
4.67,0.3256,0,1,1,2,0.6803,4,3,3,1
7.54,0.0613,0,0,1,1,0.5757,3,0,3,0
5.29,0.6564,0,1,0,1,0.8326,1,2,0,1
7.89,0.0105,0,1,1,1,0.365,0,1,2,1
6.95,0.0341,1,0,1,2,0.5019,5,1,1,1
3.17,0.3553,0,1,1,3,0.284,2,0,1,1
9.9,0.0044,1,0,1,3,0.5395,2,2,2,1
10.0,0.0502,0,1,1,0,0.1659,4,0,2,1
5.15,0.4958,1,1,0,1,0.6304,3,0,1,1
5.65,0.018,1,0,1,1,0.5361,3,2,1,1
7.13,0.0571,1,0,0,1,0.5888,0,1,1,0
7.24,0.4743,0,1,1,2,0.747,3,1,1,1
7.95,0.0027,1,0,1,1,0.6062,6,0,2,1
10.0,0.1064,1,1,1,2,0.2308,0,1,2,1
6.11,0.0055,0,0,1,1,0.411,4,2,1,1
4.74,0.1334,0,1,0,3,0.53,2,0,2,1
3.47,0.0442,0,0,0,0,0.468,2,2,1,0
4.89,0.2314,0,0,1,0,0.4985,1,3,0,1
6.43,0.2492,0,1,1,2,0.9554,1,0,0,0
10.0,0.5633,0,1,1,2,0.5751,2,2,1,1
5.36,0.0,0,0,1,1,0.6456,6,1,1,0
6.99,0.0824,0,0,1,3,0.0478,2,0,0,0
6.46,0.1048,0,1,0,1,0.7365,4,3,2,1
9.11,0.0997,0,1,0,1,1.0,1,0,1,0
10.0,0.2138,0,1,0,3,0.8864,3,2,3,1
5.33,0.0228,0,1,1,1,0.44,2,0,0,0
5.42,0.369,0,0,1,1,1.0,3,0,2,0
8.8,0.1495,0,1,1,2,0.5569,4,0,1,0
8.0,0.1471,0,1,1,2,0.6266,4,3,1,1
10.0,0.0312,0,0,1,1,0.4831,4,3,0,1
7.78,0.0719,0,0,1,1,0.4767,3,0,0,0
5.71,0.2388,0,0,1,1,0.0,3,2,1,0
7.8,0.6132,0,1,1,0,0.7469,4,2,1,1
8.94,0.111,0,1,1,3,0.4758,2,0,0,0
8.31,0.109,1,1,1,0,0.503,2,2,2,1
7.62,0.2815,0,0,0,0,0.6183,0,1,1,1
8.85,0.0145,0,1,1,2,0.4464,3,0,1,1
9.07,0.0179,1,1,1,2,0.616,2,0,0,0
9.54,0.048,1,0,1,2,0.8508,0,1,1,0
7.93,0.1474,1,0,0,1,0.6512,2,1,1,1
6.13,0.1055,0,1,0,2,0.5116,5,2,3,1
6.82,0.0543,0,1,0,1,0.5191,7,2,1,1
9.15,0.7076,1,0,0,1,0.6001,0,1,0,1
4.7,0.1199,1,0,1,2,0.342,4,3,1,1
7.31,0.1622,0,0,0,1,0.602,5,2,1,1
5.63,0.0683,0,0,1,2,0.7211,3,1,1,0
6.56,0.0611,0,0,1,1,0.5719,3,0,2,1
9.31,0.5607,0,0,1,3,0.444,0,2,1,1
6.92,0.2214,0,1,0,1,0.4782,4,1,1,1
6.6,0.0166,0,1,1,3,0.713,0,3,2,1
3.51,0.0012,0,0,0,2,0.275,2,1,1,1
8.14,0.0415,0,1,0,2,0.3459,1,1,0,1
7.92,0.2014,0,1,1,1,0.1483,2,1,2,1
10.0,0.1662,0,0,1,3,0.5585,4,1,1,0
5.82,0.098,0,0,0,1,0.7655,1,2,1,1
6.98,0.1137,0,1,1,1,0.8829,4,1,2,1
7.05,0.1184,0,1,0,2,0.9372,4,0,3,0
9.97,0.0004,0,0,1,1,0.3774,3,2,1,0
6.29,0.2144,0,0,1,1,0.6125,4,0,2,0
7.11,0.1795,0,1,1,2,0.4494,0,2,1,1
7.84,0.6038,0,0,0,0,0.9619,0,0,0,0
6.91,0.0961,0,1,1,2,0.8759,3,1,3,1
5.52,0.2698,0,1,1,2,0.592,3,1,2,0
6.93,0.2421,0,0,0,1,0.3952,3,0,2,0
8.86,0.3478,0,0,1,1,0.0,3,0,1,1
4.24,0.0431,1,0,1,2,0.1916,3,1,3,1
6.79,0.6323,0,0,1,2,0.0869,2,2,1,0
4.96,0.1388,0,0,1,1,0.1884,5,1,2,0
9.13,0.0034,0,1,0,1,1.0,5,0,0,0
3.15,0.135,0,0,1,1,0.2262,3,0,1,0
5.27,0.1507,1,0,1,2,0.2848,3,1,1,1
7.33,0.011,0,1,0,2,0.3199,1,0,1,1
9.94,0.0419,1,1,1,1,1.0,4,1,2,1
6.36,0.3338,0,1,1,2,0.5344,1,0,1,0
5.28,0.0076,1,0,1,2,0.7986,4,0,2,1
10.0,0.8796,0,0,1,0,0.5938,4,0,2,1
3.31,0.0344,1,0,1,2,0.0539,2,1,2,1
